sheet,slug,bank_class,Shrawan 2078,Bhadra 2078,Ashwin 2078,Kartik 2078,Mangsir 2078,Poush 2078,Magh 2078,Falgun 2078,Ashadh 2078,Shrawan 2079,Bhadra 2079,Ashwin 2079,Kartik 2079,Mangsir 2079,Poush 2079,Magh 2079,Falgun 2079,Baisakh 2079,Jestha 2079,Ashadh 2079,Shrawan 2080,Bhadra 2080,Ashwin 2080,Kartik 2080,Mangsir 2080,Poush 2080,Magh 2080,Falgun 2080,Baisakh 2080,Jestha 2080,Ashadh 2080,Shrawan 2081,Bhadra 2081,Ashwin 2081,Kartik 2081,Mangsir 2081,Poush 2081,Magh 2081,Falgun 2081,Baisakh 2081,Jestha 2081,Ashadh 2081,Shrawan 2082,Bhadra 2082,Baisakh 2082,Jestha 2082,Ashadh 2082
C4,capital-adequacy-ratios--core-capital-rwa,commercial,10.9155,10.9155,10.4092,10.4092,10.4092,10.3562,10.3562,10.3562,10.9155,10.7313,10.7313,10.5851,10.5851,10.5851,10.1252,10.1252,10.0379,10.5649,10.5649,10.7313,10.4175,10.2384,10.1375,10.1110,9.7938,9.6465,9.5196,9.5545,10.0977,10.0894,10.5260,10.0212,9.8983,9.9891,9.9529,9.7576,9.5291,9.4977,9.4678,9.7172,9.7409,10.1025,9.9670,9.8758,9.5015,9.4996,10.0536
C4,capital-adequacy-ratios--core-capital-rwa,development,11.7727,11.7727,10.9814,10.9814,10.9814,11.0103,11.0103,11.0103,11.7727,10.5490,10.5490,10.1870,10.1870,10.1870,10.0991,10.0991,9.6729,10.9274,10.9274,10.5490,10.2436,10.1124,9.9260,9.7622,9.6959,9.7769,9.6879,9.6797,9.7081,9.5788,10.2600,10.6695,10.5077,10.5919,10.5362,10.2517,9.9017,10.0754,10.0490,10.1713,10.1953,10.7074,10.6545,10.5432,10.2372,10.2729,10.7380
C4,capital-adequacy-ratios--core-capital-rwa,finance,19.6588,19.6588,16.6308,16.6308,16.6308,15.4447,15.4447,15.4447,19.6588,15.6445,15.6445,15.1734,15.1734,15.1734,14.9475,14.9475,14.6970,15.2829,15.2829,15.6445,14.4656,13.9293,14.0536,13.7575,13.6481,13.6048,13.2377,13.1950,15.0712,14.8652,14.9112,12.7719,12.2929,12.0972,12.2140,11.6553,10.7977,10.4671,9.8949,12.7403,12.6899,12.8479,11.2657,11.1621,10.1930,10.5495,11.4360
C4,capital-adequacy-ratios--core-capital-rwa,system_total,11.1194,11.1194,10.5605,10.5605,10.5605,10.4986,10.4986,10.4986,11.1194,10.8069,10.8069,10.6373,10.6373,10.6373,10.2122,10.2122,10.0942,10.6812,10.6812,10.8069,10.4772,10.3452,10.1912,10.1485,9.8555,9.7290,9.6008,9.6306,10.1566,10.1355,10.5851,10.1224,9.9903,10.0761,10.0403,9.8316,9.5814,9.5602,9.5211,9.8084,9.8309,10.2010,10.0424,9.9488,9.5706,9.5771,10.1305
C4,capital-adequacy-ratios--total-capital-rwa,commercial,14.1338,14.1338,13.4171,13.4171,13.4171,13.3084,13.3084,13.3084,14.1338,13.5341,13.5341,13.4457,13.4457,13.4457,13.0069,13.0069,12.8981,13.4944,13.4944,13.5341,13.2269,13.0309,12.9241,12.9194,12.5855,12.4843,12.2816,12.3777,12.9466,12.9403,13.3666,12.7188,12.8126,12.8669,12.8376,12.6614,12.3417,12.3112,12.2719,12.5298,12.5477,12.8415,13.1361,13.0348,12.3877,12.3444,12.9025
C4,capital-adequacy-ratios--total-capital-rwa,development,13.1442,13.1442,13.6101,13.6101,13.6101,13.8702,13.8702,13.8702,13.1442,13.1035,13.1035,12.7944,12.7944,12.7944,12.7097,12.7097,12.2614,13.6993,13.6993,13.1035,13.1760,13.0353,12.8847,12.6886,12.6228,12.7156,12.5883,12.5506,12.5470,12.3854,13.2092,13.2574,13.3433,13.5262,13.5312,13.2464,12.5546,12.8610,12.8827,12.9941,12.8793,13.3785,13.6691,13.6403,12.8655,12.9666,13.3353
C4,capital-adequacy-ratios--total-capital-rwa,finance,22.0352,22.0352,18.8046,18.8046,18.8046,17.6056,17.6056,17.6056,22.0352,17.7490,17.7490,17.3432,17.3432,17.3432,17.0493,17.0493,16.7751,17.3729,17.3729,17.7490,16.5538,15.9880,16.2347,15.8472,15.6602,15.6937,15.2774,15.1763,17.2000,16.9011,17.0141,14.7782,14.1191,14.5499,14.7174,14.2041,13.0878,13.0816,12.5605,14.7672,14.6957,14.8911,13.6094,13.5650,12.3311,12.5117,13.9333
C4,capital-adequacy-ratios--total-capital-rwa,system_total,14.1857,14.1857,13.5250,13.5250,13.5250,13.4294,13.4294,13.4294,14.1857,13.5766,13.5766,13.4643,13.4643,13.4643,13.0572,13.0572,12.9178,13.5826,13.5826,13.5766,13.2836,13.1162,12.9810,12.9537,12.6444,12.5617,12.3612,12.4425,12.9916,12.9677,13.4211,12.7988,12.8786,12.9506,12.9269,12.7362,12.3720,12.3681,12.3251,12.6077,12.6133,12.9220,13.1855,13.0901,12.4240,12.3955,12.9538
C4,credit-deposit-ratios--call-deposit-total-deposit,commercial,8.0225,7.3283,7.2305,6.9800,6.7106,6.4230,6.4730,6.3743,8.0461,6.3809,6.2538,6.2659,6.0776,5.9091,5.6895,5.8334,6.1376,6.1452,6.2366,7.2582,6.4947,6.3543,6.0522,5.9597,6.3351,6.2401,6.4579,6.5280,6.0534,6.2513,6.5640,6.8247,6.8976,6.7697,7.1979,8.0203,7.5197,7.2381,7.2492,6.6647,6.8883,7.2195,8.0383,7.9229,7.3198,7.4297,7.3552
C4,credit-deposit-ratios--call-deposit-total-deposit,development,9.5898,8.8179,9.5162,9.1927,9.1596,9.7606,8.6840,8.1628,10.8601,8.3146,7.9066,8.1425,7.5618,7.2038,7.7302,6.6653,6.5527,9.2701,9.0272,10.1305,7.4259,7.1812,6.7585,6.5762,6.8439,6.6353,6.0853,6.3320,6.7668,7.2941,8.1899,7.3522,7.4115,7.3080,7.4620,7.5431,7.8414,7.4048,7.1440,6.5556,6.6339,7.6804,8.6485,8.4653,7.4694,7.7175,8.5503
