sheet,slug,bank_class,period_bs,n_obs,min,max,rel_diff,files
C6,others,system_total,Bhadra 2082 (Mid-Sept 2025),2,0.02084227,3528.1476396765825,169277.4730106933,Bhadau_2082_Publish=3528.15; Bhadau_2082_Publish=0.02
C6,others,commercial,Bhadra 2082 (Mid-Sept 2025),2,0.02084227,3352.542547809995,160852.0427736516,Bhadau_2082_Publish=3352.54; Bhadau_2082_Publish=0.02
C5,profit-loss-a-c,system_total,Ashadh 2075 (Mid-July 2018),4,0.7176097099999819,61337.9689716439,85474.38880381851,Shrawan-2078-2=61337.97; Shrawan-2078-2=0.72; Ashadh-2078-2=61337.97; Ashadh-2078-2=0.72
C6,others,system_total,Shrawan 2082 (Mid-Aug 2025),4,0.02084227,1762.1525996710798,84546.05747843588,Saun-2082-Publish=1762.15; Saun-2082-Publish=0.02; Bhadau_2082_Publish=1762.15; Bhadau_2082_Publish=0.02
C6,others,commercial,Shrawan 2082 (Mid-Aug 2025),4,0.02084227,1668.2392425649975,80040.14919176258,Saun-2082-Publish=1668.24; Saun-2082-Publish=0.02; Bhadau_2082_Publish=1668.24; Bhadau_2082_Publish=0.02
C5,profit-loss-a-c,development,Ashadh 2075 (Mid-July 2018),4,0.13238226999998187,6226.728300199733,47034.968639913684,Shrawan-2078-2=6226.73; Shrawan-2078-2=0.13; Ashadh-2078-2=6226.73; Ashadh-2078-2=0.13
C6,others,system_total,Falgun 2079 (Mid-Mar 2022),4,0.5954271600000001,13372.732732333177,22458.05734688551,Falgun2078_NFRS_Publish=13372.73; Falgun2078_NFRS_Publish=0.60; Chaitra-2078=13372.73; Chaitra-2078=0.60
C6,others,system_total,Shrawan 2078 (Mid-Aug 2021),4,0.051199959999999996,1148.240297729589,22425.58583580122,Shrawan-2078-2=1148.24; Shrawan-2078-2=0.05; Bhadra_2078_V1.1=1148.24; Bhadra_2078_V1.1=0.05
C6,others,commercial,Shrawan 2078 (Mid-Aug 2021),4,0.051199959999999996,1105.7099155304109,21594.913659510883,Shrawan-2078-2=1105.71; Shrawan-2078-2=0.05; Bhadra_2078_V1.1=1105.71; Bhadra_2078_V1.1=0.05
C6,others,commercial,Falgun 2079 (Mid-Mar 2022),4,0.5954271600000001,12565.096709883177,21101.659660139077,Falgun2078_NFRS_Publish=12565.10; Falgun2078_NFRS_Publish=0.60; Chaitra-2078=12565.10; Chaitra-2078=0.60
C6,others,development,Ashadh 2077 (Mid-July 2020),24,0.00456,89.14217616,19547.722842105264,Bhadra_2079_Publish=89.14; Bhadra_2079_Publish=0.00; Asoj_2079_PublishV1=89.14; Asoj_2079_PublishV1=0.00; Kartik2079_publish=89.14; Kartik2079_publish=0.00; Mangsir_2079_Publish_V1=89.14; Mangsir_2079_Publish_V1=0.00; Poush2079_Publish-1=89.14; Poush2079_Publish-1=0.00; Magh_2079_Publish-4=89.14; Magh_2079_Publish-4=0.00; Falgun_2079_Publish-4=89.14; Falgun_2079_Publish-4=0.00; Chaitra_2079_Publish=89.14; Chaitra_2079_Publish=0.00; Saun_2080_Publish-3=89.14; Saun_2080_Publish-3=0.00; Baisakh_2080_Publish-1=89.14; Baisakh_2080_Publish-1=0.00; Jestha_2080_Publish=89.14; Jestha_2080_Publish=0.00; Asar_2080_Publish=89.14; Asar_2080_Publish=0.00
C6,others,system_total,Bhadra 2078 (Mid-Sept 2021),4,0.18738776999999998,2512.2890096802744,13405.899552090697,Bhadra_2078_V1.1=2512.29; Bhadra_2078_V1.1=0.19; Ashwin2078_NFRS_Publish=2512.29; Ashwin2078_NFRS_Publish=0.19
C6,others,commercial,Bhadra 2078 (Mid-Sept 2021),4,0.18738776999999998,2417.6710848987677,12900.968388325278,Bhadra_2078_V1.1=2417.67; Bhadra_2078_V1.1=0.19; Ashwin2078_NFRS_Publish=2417.67; Ashwin2078_NFRS_Publish=0.19
C6,others,system_total,Jestha 2079 (Mid-June 2022),4,2.48942123,21158.097365383343,8498.203393305737,Jestha2079_PublishV1=21158.10; Jestha2079_PublishV1=2.49; Ashar2079_Publish=21158.10; Ashar2079_Publish=2.49
C6,others,system_total,Magh 2079 (Mid-Feb 2022),4,1.3645239,11206.458122830707,8211.723956561484,Magh2078_NFRS_Publish-1=11206.46; Magh2078_NFRS_Publish-1=1.36; Falgun2078_NFRS_Publish=11206.46; Falgun2078_NFRS_Publish=1.36
C6,others,commercial,Jestha 2079 (Mid-June 2022),4,2.48942123,19742.349525903344,7929.497775140829,Jestha2079_PublishV1=19742.35; Jestha2079_PublishV1=2.49; Ashar2079_Publish=19742.35; Ashar2079_Publish=2.49
C6,others,commercial,Magh 2079 (Mid-Feb 2022),4,1.3645239,10579.342127190708,7752.138019195346,Magh2078_NFRS_Publish-1=10579.34; Magh2078_NFRS_Publish-1=1.36; Falgun2078_NFRS_Publish=10579.34; Falgun2078_NFRS_Publish=1.36
