# CBS NPHC 2021 (prov,dist,gapa) -> 8-digit federal_code crosswalk.
# Generated by scrapers/cbs_nphc/generate_crosswalk.py — do not hand-edit.
# Sources: MoF Fiscal Transfer_2082_82.xlsx Sheet2 (federal codes) +
# CBS Hhld05_FloorOfHouse.csv (753 reference triples). See the
# generator module docstring for the within-district matching ladder.
prov,dist,gapa,federal_code,name_en
1,1,1,80101302,Phaktanglung Rural Municipality
1,1,2,80101303,Mikwakhola Rural Municipality
1,1,3,80101304,Meringden Rural Municipality
1,1,4,80101305,Maiwakhola Rural Municipality
1,1,5,80101301,Aathrai Tribeni Rural Municipality
1,1,6,80101101,Phungling Municipality
1,1,7,80101306,Pathibhara Yangwarak Rural Municipality
1,1,8,80101308,Sirijangha Rural Municipality
1,1,9,80101307,Sidingwa Rural Municipality
1,2,1,80101330,Bhotkhola Rural Municipality
1,2,2,80101331,Makalu Rural Municipality
1,2,3,80101333,Silichong Rural Municipality
1,2,4,80101329,Chichila Rural Municipality
1,2,5,80101332,Sabhapokhari Rural Municipality
1,2,6,80101115,Khandbari Municipality
1,2,7,80101118,Panchkhapan Municipality
1,2,8,80101116,Chainpur Municipality
1,2,9,80101119,Madi Municipality
1,2,10,80101117,Dharmadevi Municipality
1,3,1,80101363,Khumbu Pasang Lhamu Rural Municipality
1,3,2,80101367,Mahakulung Rural Municipality
1,3,3,80101369,Sotang Rural Municipality
1,3,4,80101364,Mapya Dudhkoshi Rural Municipality
1,3,5,80101365,Thulung Dudhkoshi Rural Municipality
1,3,6,80101366,Nechasalyan Rural Municipality
1,3,7,80101139,Solududhkunda Municipality
1,3,8,80101368,Likhupike Rural Municipality
1,4,1,80101384,Chisankhugadhi Rural Municipality
1,4,2,80101146,Siddhicharan Municipality
1,4,3,80101386,Molung Rural Municipality
1,4,4,80101382,Khijidemba Rural Municipality
1,4,5,80101387,Likhu Rural Municipality
1,4,6,80101383,Champadevi Rural Municipality
1,4,7,80101388,Sunkoshi Rural Municipality
1,4,8,80101385,Manebhanjyang Rural Municipality
1,5,1,80101371,Kepilasgadhi Rural Municipality
1,5,2,80101370,Aiselukharka Rural Municipality
1,5,3,80101375,Rawabesi Rural Municipality
1,5,4,80101141,Halesi Tuwachung Municipality
1,5,5,80101140,Diktel Rupakot Majhuwagadhi Municipality
1,5,6,80101377,Sakela Rural Municipality
1,5,7,80101374,Diprung Chuichumma Rural Municipality
1,5,8,80101372,Khotehang Rural Municipality
1,5,9,80101373,Jantedhunga Rural Municipality
1,5,10,80101376,Barahapokhari Rural Municipality
1,6,1,80101123,Shadananda Municipality
1,6,2,80101343,Salpasilichho Rural Municipality
1,6,3,80101340,Tyamkemaiyung Rural Municipality
1,6,4,80101122,Bhojpur Municipality
1,6,5,80101338,Arun Rural Municipality
1,6,6,80101341,Pauwadungma Rural Municipality
