federal_code,name_en,name_ne,district_en,local_level_type
80101101,Phungling Municipality,फुङलिङ नगरपालिका,Taplejung,municipality
80101301,Aathrai Tribeni Rural Municipality,आठराई त्रिवेणी गाउँपालिका,Taplejung,rural_municipality
80101302,Phaktanglung Rural Municipality,फक्ताङलुङ गाउँपालिका,Taplejung,rural_municipality
80101303,Mikwakhola Rural Municipality,मिक्वाखोला गाउँपालिका,Taplejung,rural_municipality
80101304,Meringden Rural Municipality,मेरिङदेन गाउँपालिका,Taplejung,rural_municipality
80101305,Maiwakhola Rural Municipality,मैवाखोला गाउँपालिका,Taplejung,rural_municipality
80101306,Pathibhara Yangwarak Rural Municipality,पाथिभरा याङ्वरक गाउँपालिका,Taplejung,rural_municipality
80101307,Sidingwa Rural Municipality,सिदिङ्‌वा गाउँपालिका,Taplejung,rural_municipality
80101308,Sirijangha Rural Municipality,सिरीजङ्गा गाउँपालिका,Taplejung,rural_municipality
80101102,Phidim Municipality,फिदिम नगरपालिका,Panchthar,municipality
80101309,Kummayak Rural Municipality,कुम्मायक गाउँपालिका,Panchthar,rural_municipality
80101310,Tumbewa Rural Municipality,तुम्वेवा गाउँपालिका,Panchthar,rural_municipality
80101311,Phalelung Rural Municipality,फालेलुङ गाउँपालिका,Panchthar,rural_municipality
80101312,Phalgunanda Rural Municipality,फाल्गुनन्द गाउँपालिका,Panchthar,rural_municipality
80101313,Miklajung Rural Municipality,मिक्लाजुङ गाउँपालिका,Panchthar,rural_municipality
80101314,Yangwarak Rural Municipality,याङवरक गाउँपालिका,Panchthar,rural_municipality
80101315,Hilihang Rural Municipality,हिलिहाङ गाउँपालिका,Panchthar,rural_municipality
80101103,Ilam Municipality,ईलाम नगरपालिका,Ilam,municipality
80101104,Deumai Municipality,देउमाई नगरपालिका,Ilam,municipality
80101105,Mai Municipality,माई नगरपालिका,Ilam,municipality
80101106,Suryodaya Municipality,सूर्योदय नगरपालिका,Ilam,municipality
80101316,Chulachuli Rural Municipality,चुलाचुली गाउँपालिका,Ilam,rural_municipality
80101317,Phakphokthum Rural Municipality,फाकफोकथुम गाउँपालिका,Ilam,rural_municipality
80101318,Maijogmai Rural Municipality,माईजोगमाई गाउँपालिका,Ilam,rural_municipality
80101319,Mangsebung Rural Municipality,माङसेबुङ गाउँपालिका,Ilam,rural_municipality
80101320,Rong Rural Municipality,रोङ गाउँपालिका,Ilam,rural_municipality
80101321,Sandakpur Rural Municipality,सन्दकपुर गाउँपालिका,Ilam,rural_municipality
80101115,Khandbari Municipality,खाँदवारी नगरपालिका,Sankhuwasabha,municipality
80101116,Chainpur Municipality,चैनपुर नगरपालिका,Sankhuwasabha,municipality
80101117,Dharmadevi Municipality,धर्मदेवी नगरपालिका,Sankhuwasabha,municipality
80101118,Panchkhapan Municipality,पाँचखपन नगरपालिका,Sankhuwasabha,municipality
80101119,Madi Municipality,मादी नगरपालिका,Sankhuwasabha,municipality
80101329,Chichila Rural Municipality,चिचिला गाउँपालिका,Sankhuwasabha,rural_municipality
80101330,Bhotkhola Rural Municipality,भोटखोला गाउँपालिका,Sankhuwasabha,rural_municipality
80101331,Makalu Rural Municipality,मकालु गाउँपालिका,Sankhuwasabha,rural_municipality
80101332,Sabhapokhari Rural Municipality,सभापोखरी गाउँपालिका,Sankhuwasabha,rural_municipality
80101333,Silichong Rural Municipality,सिलीचोङ गाउँपालिका,Sankhuwasabha,rural_municipality
80101120,Myanglung Municipality,म्याङलुङ नगरपालिका,Tehrathum,municipality
80101121,Laligurans Municipality,लालीगुराँस नगरपालिका,Tehrathum,municipality
80101334,Aathrai Rural Municipality,आठराई गाउँपालिका,Tehrathum,rural_municipality
80101335,Chhathar Rural Municipality,छथर गाउँपालिका,Tehrathum,rural_municipality
80101336,Phedap Rural Municipality,फेदाप गाउँपालिका,Tehrathum,rural_municipality
80101337,Menchhayayem Rural Municipality,मेन्छयायेम गाउँपालिका,Tehrathum,rural_municipality
80101124,Dhankuta Municipality,धनकुटा नगरपालिका,Dhankuta,municipality
80101125,Pakhribas Municipality,पाख्रिवास नगरपालिका,Dhankuta,municipality
80101126,Mahalaxmi Municipality,महालक्ष्मी नगरपालिका,Dhankuta,municipality
80101345,Shahidbhumi Rural Municipality,शहिदभूमि गाउँपालिका,Dhankuta,rural_municipality
80101346,Chaubise Rural Municipality,चौबिसे गाउँपालिका,Dhankuta,rural_municipality
80101347,Chhathar Jorpati Rural Municipality,छथर जोरपाटी गाउँपालिका,Dhankuta,rural_municipality
80101348,Sangurigadhi Rural Municipality,साँगुरीगढी गाउँपालिका,Dhankuta,rural_municipality
80101122,Bhojpur Municipality,भोजपुर नगरपालिका,Bhojpur,municipality
80101123,Shadananda Municipality,षडानन्द नगरपालिका,Bhojpur,municipality
80101338,Arun Rural Municipality,अरुण गाउँपालिका,Bhojpur,rural_municipality
80101339,Aamchok Rural Municipality,आमचोक गाउँपालिका,Bhojpur,rural_municipality
80101340,Tyamkemaiyung Rural Municipality,ट्याम्केमैयुङ गाउँपालिका,Bhojpur,rural_municipality
80101341,Pauwadungma Rural Municipality,पौवादुङमा गाउँपालिका,Bhojpur,rural_municipality
80101342,Ramprasad Rai Rural Municipality,रामप्रसाद राई गाउँपालिका,Bhojpur,rural_municipality
80101343,Salpasilichho Rural Municipality,साल्पासिलिछो गाउँपालिका,Bhojpur,rural_municipality
80101344,Hatuwagadhi Rural Municipality,हतुवागढी गाउँपालिका,Bhojpur,rural_municipality
80101140,Diktel Rupakot Majhuwagadhi Municipality,दिक्तेल रुपाकोट मझुवागढी नगरपालिका,Khotang,municipality
80101141,Halesi Tuwachung Municipality,हलेसी तुवाचुङ नगरपालिका,Khotang,municipality
80101370,Aiselukharka Rural Municipality,ऐसेलुखर्क गाउँपालिका,Khotang,rural_municipality
80101371,Kepilasgadhi Rural Municipality,केपिलासगढी गाउँपालिका,Khotang,rural_municipality
80101372,Khotehang Rural Municipality,खोटेहाङ गाउँपालिका,Khotang,rural_municipality
80101373,Jantedhunga Rural Municipality,जन्तेढुंगा गाउँपालिका,Khotang,rural_municipality
80101374,Diprung Chuichumma Rural Municipality,दिप्रुङ चुइचुम्मा गाउँपालिका,Khotang,rural_municipality
80101375,Rawabesi Rural Municipality,रावा बेसी गाउँपालिका,Khotang,rural_municipality
80101376,Barahapokhari Rural Municipality,वराहपोखरी गाउँपालिका,Khotang,rural_municipality
80101377,Sakela Rural Municipality,साकेला गाउँपालिका,Khotang,rural_municipality
80101139,Solududhkunda Municipality,सोलुदुधकुण्ड नगरपालिका,Solukhumbu,municipality
80101363,Khumbu Pasang Lhamu Rural Municipality,खुम्बु पासाङल्हामु गाउँपालिका,Solukhumbu,rural_municipality
80101364,Mapya Dudhkoshi Rural Municipality,माप्य दुधकोशी गाउँपालिका,Solukhumbu,rural_municipality
80101365,Thulung Dudhkoshi Rural Municipality,थुलुङ दुधकोशी गाउँपालिका,Solukhumbu,rural_municipality
80101366,Nechasalyan Rural Municipality,नेचासल्यान गाउँपालिका,Solukhumbu,rural_municipality
80101367,Mahakulung Rural Municipality,महाकुलुङ गाउँपालिका,Solukhumbu,rural_municipality
80101368,Likhupike Rural Municipality,लिखुपिके गाउँपालिका,Solukhumbu,rural_municipality
80101369,Sotang Rural Municipality,सोताङ गाउँपालिका,Solukhumbu,rural_municipality
80101146,Siddhicharan Municipality,सिद्धिचरण नगरपालिका,Okhaldhunga,municipality
80101382,Khijidemba Rural Municipality,खिजीदेम्बा गाउँपालिका,Okhaldhunga,rural_municipality
80101383,Champadevi Rural Municipality,चम्पादेवी गाउँपालिका,Okhaldhunga,rural_municipality
80101384,Chisankhugadhi Rural Municipality,चिशंखुगढी गाउँपालिका,Okhaldhunga,rural_municipality
80101385,Manebhanjyang Rural Municipality,मानेभञ्याङ गाउँपालिका,Okhaldhunga,rural_municipality
80101386,Molung Rural Municipality,मोलुङ गाउँपालिका,Okhaldhunga,rural_municipality
80101387,Likhu Rural Municipality,लिखु गाउँपालिका,Okhaldhunga,rural_municipality
80101388,Sunkoshi Rural Municipality,सुनकोशी गाउँपालिका,Okhaldhunga,rural_municipality
80101142,Katari Municipality,कटारी नगरपालिका,Udayapur,municipality
80101143,Chaudandigadhi Municipality,चौदण्डीगढी नगरपालिका,Udayapur,municipality
80101144,Triyuga Municipality,त्रियुगा नगरपालिका,Udayapur,municipality
80101145,Belaka Municipality,बेलका नगरपालिका,Udayapur,municipality
80101378,Udayapurgadhi Rural Municipality,उदयपुरगढी गाउँपालिका,Udayapur,rural_municipality
80101379,Tapli Rural Municipality,ताप्ली गाउँपालिका,Udayapur,rural_municipality
80101380,Rautamai Rural Municipality,रौतामाई गाउँपालिका,Udayapur,rural_municipality
80101381,Limchungbung Rural Municipality,लिम्चुङवुङ गाउँपालिका,Udayapur,rural_municipality
80101107,Arjundhara Municipality,अर्जुनधारा नगरपालिका,Jhapa,municipality
80101108,Kankai Municipality,कन्काई नगरपालिका,Jhapa,municipality
80101109,Gauradaha Municipality,गौरादह नगरपालिका,Jhapa,municipality
80101110,Damak Municipality,दमक नगरपालिका,Jhapa,municipality
80101111,Birtamod Municipality,विर्तामोड नगरपालिका,Jhapa,municipality
80101112,Bhadrapur Municipality,भद्रपुर नगरपालिका,Jhapa,municipality
80101113,Mechinagar Municipality,मेचीनगर नगरपालिका,Jhapa,municipality
80101114,Shivasataxi Municipality,शिवसताक्षी नगरपालिका,Jhapa,municipality
80101322,Kachankawal Rural Municipality,कचनकवल गाउँपालिका,Jhapa,rural_municipality
